mean,std,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,cost,Class,Layer Index
1543.087646484375,139.98976135253906,1388.0,1460.0,1497.0,1532.0,1559.0,1585.0,1610.0,1646.0,1690.0,1987.0,20.0,1.0,1
1521.35498046875,129.02011108398438,1388.0,1445.0,1475.0,1511.0,1532.0,1559.0,1585.0,1610.0,1657.0,1916.0,20.0,1.0,2
1510.0970458984375,133.242919921875,1371.0,1429.0,1468.0,1497.0,1518.0,1552.0,1578.0,1610.0,1651.0,1912.0,20.0,1.0,3
1499.8948974609375,126.1977767944336,1371.0,1421.0,1452.0,1483.0,1511.0,1532.0,1559.0,1591.0,1634.0,1939.0,20.0,1.0,4
1545.96728515625,135.71270751953125,1410.6000000000022,1468.0,1504.0,1532.0,1559.0,1585.0,1610.0,1646.0,1690.0,1965.0,20.0,1.0,5
1517.154296875,128.90878295898438,1380.0,1437.0,1475.0,1504.0,1525.0,1552.0,1578.0,1610.0,1657.0,1951.0,20.0,1.0,6
1528.6802978515625,136.13314819335938,1397.0,1452.0,1490.0,1518.0,1539.0,1566.0,1591.0,1628.0,1668.0,1935.0,20.0,1.0,7
1510.984375,120.4474105834961,1371.0,1429.0,1468.0,1490.0,1518.0,1546.0,1572.0,1604.0,1646.0,1871.0,20.0,1.0,8
1516.696044921875,127.19795989990234,1388.0,1437.0,1475.0,1504.0,1525.0,1552.0,1578.0,1610.0,1651.0,1997.0,20.0,1.0,9
1518.71728515625,135.3057098388672,1380.0,1445.0,1483.0,1511.0,1532.0,1559.0,1585.0,1610.0,1657.0,1935.0,20.0,1.0,10
1498.5845947265625,125.19290161132812,1371.0,1421.0,1452.0,1475.0,1504.0,1532.0,1559.0,1591.0,1634.0,1900.0,20.0,1.0,11
1517.4541015625,122.95140075683594,1388.0,1437.0,1468.0,1497.0,1525.0,1552.0,1578.0,1610.0,1651.0,1908.0,20.0,1.0,12
1535.6077880859375,133.13861083984375,1397.0,1460.0,1490.0,1518.0,1552.0,1572.0,1597.0,1628.0,1674.0,1900.0,20.0,1.0,13
1497.1922607421875,125.05426788330078,1371.0,1421.0,1452.0,1483.0,1504.0,1532.0,1552.0,1591.0,1634.0,1976.0,20.0,1.0,14
1494.463134765625,127.64197540283203,1362.0,1413.0,1452.0,1483.0,1504.0,1532.0,1559.0,1591.0,1634.0,1867.0,20.0,1.0,15
1527.4290771484375,131.09521484375,1397.0,1445.0,1483.0,1511.0,1539.0,1559.0,1591.0,1622.0,1663.0,1958.0,20.0,1.0,16
1495.5198974609375,126.80657958984375,1371.0,1421.0,1452.0,1483.0,1504.0,1532.0,1552.0,1585.0,1628.0,1990.0,20.0,1.0,17
1518.4486083984375,134.3014373779297,1380.0,1437.0,1475.0,1504.0,1532.0,1552.0,1585.0,1616.0,1663.0,1976.0,20.0,1.0,18
1539.8253173828125,137.30032348632812,1397.0,1452.0,1490.0,1525.0,1552.0,1578.0,1610.0,1640.0,1685.0,1997.0,20.0,1.0,19
1530.6595458984375,135.3576202392578,1397.0,1452.0,1490.0,1518.0,1546.0,1572.0,1597.0,1628.0,1668.0,1876.0,20.0,1.0,20
1523.4312744140625,131.77708435058594,1397.0,1445.0,1483.0,1511.0,1532.0,1559.0,1585.0,1616.0,1663.0,1965.0,20.0,1.0,21
1491.9559326171875,123.40238952636719,1362.0,1413.0,1445.0,1475.0,1504.0,1525.0,1552.0,1585.0,1628.0,1859.0,20.0,1.0,22
1528.4871826171875,130.19854736328125,1397.0,1452.0,1483.0,1511.0,1539.0,1566.0,1591.0,1622.0,1663.0,1958.0,20.0,1.0,23
1499.073486328125,132.79647827148438,1362.0,1421.0,1452.0,1483.0,1511.0,1532.0,1559.0,1597.0,1646.0,1892.0,20.0,1.0,24
1516.9735107421875,129.04290771484375,1388.0,1437.0,1475.0,1497.0,1525.0,1552.0,1578.0,1610.0,1651.0,1932.0,20.0,1.0,25
1458.6563720703125,190.99085998535156,1248.0,1345.0,1405.0,1452.0,1490.0,1525.0,1559.0,1597.0,1651.0,1912.0,0.0,0.0,26
1528.65625,123.25679016113281,1405.0,1452.0,1490.0,1511.0,1539.0,1559.0,1585.0,1616.0,1657.0,1904.0,20.0,1.0,27
1525.996337890625,127.11536407470703,1397.0,1445.0,1483.0,1511.0,1532.0,1559.0,1585.0,1616.0,1663.0,1947.0,20.0,1.0,28
1514.950439453125,122.3165283203125,1380.0,1437.0,1468.0,1497.0,1525.0,1552.0,1572.0,1604.0,1651.0,1912.0,20.0,1.0,29
1524.9144287109375,125.39173126220703,1397.0,1445.0,1483.0,1511.0,1532.0,1559.0,1585.0,1616.0,1663.0,1954.0,20.0,1.0,30
1534.465087890625,134.29806518554688,1397.0,1460.0,1497.0,1518.0,1552.0,1572.0,1597.0,1634.0,1674.0,1947.0,20.0,1.0,31
1499.23095703125,125.52429962158203,1371.0,1421.0,1452.0,1483.0,1511.0,1532.0,1559.0,1591.0,1634.0,1939.0,20.0,1.0,32
1545.1448974609375,135.02902221679688,1405.0,1468.0,1504.0,1532.0,1559.0,1585.0,1610.0,1640.0,1690.0,2001.0,20.0,1.0,33
1506.024169921875,130.10813903808594,1371.0,1429.0,1468.0,1490.0,1518.0,1539.0,1566.0,1597.0,1640.0,1900.0,20.0,1.0,34
1517.393798828125,128.50709533691406,1388.0,1445.0,1475.0,1504.0,1525.0,1552.0,1578.0,1610.0,1651.0,1990.0,20.0,1.0,35
1490.07666015625,122.89558410644531,1354.0,1405.0,1445.0,1475.0,1497.0,1525.0,1552.0,1585.0,1628.0,1880.0,20.0,1.0,36
1530.7301025390625,127.5089340209961,1397.0,1452.0,1490.0,1511.0,1539.0,1566.0,1591.0,1622.0,1668.0,1954.0,20.0,1.0,37
1521.7406005859375,134.8450927734375,1380.0,1445.0,1475.0,1511.0,1532.0,1559.0,1591.0,1622.0,1663.0,1896.0,20.0,1.0,38
1511.7569580078125,128.95291137695312,1380.0,1437.0,1468.0,1497.0,1518.0,1546.0,1572.0,1597.0,1646.0,1947.0,20.0,1.0,39
1507.1514892578125,118.01954650878906,1380.0,1429.0,1460.0,1490.0,1511.0,1539.0,1566.0,1597.0,1640.0,1880.0,20.0,1.0,40
1535.3138427734375,134.49559020996094,1397.0,1460.0,1490.0,1518.0,1546.0,1572.0,1597.0,1634.0,1674.0,1962.0,20.0,1.0,41
1501.7919921875,132.404052734375,1371.0,1429.0,1460.0,1490.0,1511.0,1539.0,1566.0,1597.0,1640.0,1951.0,20.0,1.0,42
1490.083251953125,125.99199676513672,1354.0,1413.0,1445.0,1475.0,1497.0,1525.0,1552.0,1585.0,1628.0,1928.0,20.0,1.0,43
1533.3636474609375,130.44139099121094,1397.0,1452.0,1490.0,1518.0,1539.0,1566.0,1597.0,1628.0,1674.0,1928.0,20.0,1.0,44
1490.7718505859375,119.8476791381836,1362.0,1421.0,1452.0,1475.0,1504.0,1525.0,1552.0,1578.0,1616.0,1928.0,20.0,1.0,45
1511.2308349609375,126.70925903320312,1380.0,1437.0,1468.0,1497.0,1518.0,1546.0,1572.0,1604.0,1646.0,1912.0,20.0,1.0,46
1540.1033935546875,136.07574462890625,1397.0,1460.0,1497.0,1525.0,1552.0,1578.0,1610.0,1640.0,1685.0,1924.0,20.0,1.0,47
1525.267333984375,134.45294189453125,1388.0,1445.0,1483.0,1511.0,1539.0,1559.0,1591.0,1622.0,1663.0,1954.0,20.0,1.0,48
1488.5360107421875,121.64111328125,1362.0,1413.0,1445.0,1475.0,1497.0,1518.0,1552.0,1578.0,1616.0,1892.0,20.0,1.0,49
1513.096435546875,132.0435791015625,1371.0,1429.0,1468.0,1497.0,1518.0,1552.0,1578.0,1610.0,1663.0,1965.0,20.0,1.0,50
1509.701171875,130.55902099609375,1380.0,1429.0,1468.0,1490.0,1518.0,1546.0,1572.0,1604.0,1646.0,1969.0,20.0,1.0,51
1507.278076171875,137.83175659179688,1371.0,1429.0,1468.0,1497.0,1518.0,1546.0,1572.0,1604.0,1651.0,1900.0,20.0,1.0,52
1503.047119140625,125.13756561279297,1380.0,1429.0,1460.0,1490.0,1511.0,1532.0,1559.0,1591.0,1634.0,1880.0,20.0,1.0,53
1547.099365234375,134.37564086914062,1405.0,1468.0,1504.0,1532.0,1559.0,1585.0,1616.0,1646.0,1696.0,1976.0,20.0,1.0,54
1507.4417724609375,123.45388793945312,1380.0,1429.0,1468.0,1490.0,1518.0,1539.0,1566.0,1597.0,1640.0,1884.0,20.0,1.0,55
1526.5513916015625,133.48138427734375,1397.0,1445.0,1483.0,1511.0,1539.0,1559.0,1591.0,1622.0,1663.0,1916.0,20.0,1.0,56
1523.184814453125,136.74302673339844,1380.0,1437.0,1475.0,1504.0,1532.0,1559.0,1591.0,1628.0,1674.0,2004.0,20.0,1.0,57
1482.9554443359375,183.38731384277344,1289.0,1380.0,1437.0,1475.0,1511.0,1546.0,1572.0,1610.0,1663.0,1994.0,0.0,0.0,58
1431.6285400390625,192.1530303955078,1195.0,1308.0,1380.0,1429.0,1468.0,1504.0,1539.0,1572.0,1628.0,1884.0,0.0,0.0,59
1562.2376708984375,135.5462188720703,1421.0,1475.0,1518.0,1546.0,1572.0,1597.0,1628.0,1663.0,1707.0,1976.0,10.0,2.0,60
1536.9644775390625,126.91547393798828,1397.0,1452.0,1490.0,1518.0,1546.0,1572.0,1597.0,1634.0,1674.0,1908.0,10.0,2.0,61
1545.3072509765625,130.20335388183594,1421.0,1468.0,1504.0,1532.0,1552.0,1578.0,1604.0,1634.0,1680.0,1976.0,10.0,2.0,62
1528.0628662109375,140.5230255126953,1380.0,1445.0,1483.0,1511.0,1539.0,1566.0,1597.0,1628.0,1674.0,2041.0,20.0,1.0,63
