X,Y
-20.287275,-80.18675
-20.280539,-80.194984
-20.273054,-80.20546
-20.265194,-80.21669
-20.256212,-80.22867
-20.246483,-80.240265
-20.236378,-80.25224
-20.225899,-80.2631
-20.215794,-80.27396
-20.20494,-80.28443
-20.19521,-80.29529
-20.185478,-80.30576
-20.175749,-80.31662
-20.166018,-80.32747
-20.156662,-80.3387
-20.146557,-80.34993
-20.136826,-80.36153
-20.127096,-80.37312
-20.117365,-80.38435
-20.107635,-80.39633
-20.097904,-80.40793
-20.088173,-80.41954
-20.078444,-80.43076
-20.069088,-80.441986
-20.059357,-80.45322
-20.05,-80.4637
-20.039896,-80.47455
-20.029417,-80.485405
-20.018936,-80.49588
-20.008833,-80.50711
-19.997978,-80.51796
-19.987125,-80.52919
-19.976273,-80.54042
-19.96542,-80.55202
-19.955315,-80.56325
-19.94521,-80.57485
-19.935478,-80.586075
-19.926123,-80.597305
-19.916393,-80.608536
-19.907036,-80.619385
-19.89768,-80.630615
-19.888323,-80.6411
-19.878593,-80.65195
-19.868488,-80.662796
-19.858383,-80.67328
-19.847904,-80.68413
-19.837425,-80.694984
-19.826946,-80.70621
-19.816467,-80.71744
-19.805614,-80.72867
-19.79551,-80.73952
-19.785404,-80.75112
-19.775673,-80.76235
-19.765944,-80.773575
-19.756212,-80.784805
-19.746483,-80.796036
-19.736378,-80.80726
-19.72702,-80.81774
-19.717665,-80.82822
-19.707935,-80.83907
-19.698204,-80.84993
-19.688473,-80.860405
-19.678368,-80.87163
-19.667889,-80.88286
-19.65741,-80.89446
-19.646557,-80.90532
-19.634956,-80.91654
-19.624102,-80.92702
-19.612875,-80.93675
-19.603518,-80.944984
-19.597157,-80.95135
-19.594536,-80.95659
-19.596407,-80.95958
-19.850899,-80.94162
-19.859507,-80.93376
-19.86774,-80.9244
-19.875973,-80.913925
-19.884956,-80.90307
-19.89506,-80.891464
-19.906288,-80.879486
-19.917141,-80.86789
-19.927994,-80.85629
-19.938473,-80.84468
-19.948578,-80.83346
-19.957935,-80.822235
-19.967665,-80.811005
-19.97702,-80.80015
-19.986378,-80.788925
-19.995733,-80.77807
-20.005838,-80.76721
-20.015944,-80.75599
-20.02717,-80.74476
-20.038025,-80.733536
-20.049252,-80.722305
-20.05973,-80.711075
-20.069836,-80.69948
-20.07994,-80.687874
-20.08967,-80.67627
-20.099028,-80.66505
-20.10801,-80.65344
-20.116991,-80.64221
-20.125973,-80.63099
-20.135704,-80.62013
-20.14581,-80.60928
-20.155914,-80.59843
-20.166018,-80.58757
-20.176497,-80.57635
-20.186977,-80.56549
-20.197456,-80.55427
-20.207935,-80.54304
-20.218039,-80.531815
-20.22777,-80.520584
-20.2375,-80.50935
-20.24723,-80.49812
-20.257336,-80.487274
-20.267815,-80.47604
-20.278294,-80.46482
-20.289146,-80.4536
-20.3,-80.44274
-20.310854,-80.43151
-20.32208,-80.42029
-20.33256,-80.40906
-20.342665,-80.398575
-20.352396,-80.38698
-20.361752,-80.375374
-20.370733,-80.36415
-20.38009,-80.35255
-20.389072,-80.34132
-20.398054,-80.32971
-20.40741,-80.31849
-20.417141,-80.30763
-20.42762,-80.296036
-20.438099,-80.284805
-20.449326,-80.273575
-20.460554,-80.26235
-20.471783,-80.25075
-20.482635,-80.23915
-20.493114,-80.228294
-20.502844,-80.21707
-20.511078,-80.20696
-20.518562,-80.1976
-20.5253,-80.18938
-20.532036,-80.183014
-20.54027,-80.177765
-20.550375,-80.1744
-20.796257,-80.18938
-20.793262,-80.197235
-20.786901,-80.20659
-20.778294,-80.21707
-20.768562,-80.228294
-20.758457,-80.240265
-20.748354,-80.25224
-20.738249,-80.26385
-20.728893,-80.27545
-20.719162,-80.28705
-20.70943,-80.29828
-20.699326,-80.30951
-20.688847,-80.319984
-20.677994,-80.33084
-20.667515,-80.34132
-20.656662,-80.35217
-20.646183,-80.36302
-20.63533,-80.37388
-20.625599,-80.384735
-20.615868,-80.39633
-20.606512,-80.40756
-20.596783,-80.41916
-20.587051,-80.43076
-20.576572,-80.44237
-20.566467,-80.4536
-20.555614,-80.465195
-20.544762,-80.476425
-20.533533,-80.48765
-20.52268,-80.49888
-20.511452,-80.509735
-20.500599,-80.520584
-20.490494,-80.53143
-20.480762,-80.54229
-20.471033,-80.55351
-20.461304,-80.563995
-20.45232,-80.575226
-20.443338,-80.58682
-20.433983,-80.59843
-20.424252,-80.61003
-20.41452,-80.62163
-20.404041,-80.633606
-20.393936,-80.64484
-20.383457,-80.65643
-20.372978,-80.66766
-20.3625,-80.678894
-20.352396,-80.690125
-20.341917,-80.70135
-20.332186,-80.712204
-20.32208,-80.72305
-20.312351,-80.73428
-20.302246,-80.74513
-20.292141,-80.75599
-20.281662,-80.766846
-20.271183,-80.77732
-20.261078,-80.78854
-20.250599,-80.799774
-20.240494,-80.81062
-20.230389,-80.82185
-20.220284,-80.833084
-20.210554,-80.84468
-20.200823,-80.85591
-20.191467,-80.867516
-20.181362,-80.87912
-20.170883,-80.8911
-20.16003,-80.90232
-20.148804,-80.91354
-20.137575,-80.92365
-20.127096,-80.933014
-20.11774,-80.94124
-20.111378,-80.9476
-20.108383,-80.95284
-20.110254,-80.95584
-20.361378,-80.941986
-20.37036,-80.93451
-20.378967,-80.92515
-20.387575,-80.91467
-20.39693,-80.90344
-20.406662,-80.891464
-20.417141,-80.879486
-20.427994,-80.867516
-20.438847,-80.85554
-20.449326,-80.84393
-20.459057,-80.83234
-20.468788,-80.82073
-20.47777,-80.80951
-20.487125,-80.79828
-20.496857,-80.78743
-20.506588,-80.77657
-20.516691,-80.76572
-20.527546,-80.75487
-20.538399,-80.74401
-20.549252,-80.73279
-20.560478,-80.72193
-20.570957,-80.71071
-20.581062,-80.700226
